source_id,source_label,profile_type,variable,column,field_id,instance,value,value_label,count,percent,non_missing_count,missing_percent,mean,sd,median,q1,q3,min,max,zero_percent,skewness,extreme_z_percent
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-06,2019-11-06,20,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-27,2019-10-27,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-05,2019-11-05,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-02-26,2020-02-26,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-03-04,2020-03-04,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-03-02,2020-03-02,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-02-29,2020-02-29,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-02-17,2020-02-17,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-12-06,2019-12-06,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-09-23,2019-09-23,19,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-18,2019-10-18,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-13,2019-11-13,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-12-17,2019-12-17,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-09-03,2019-09-03,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-22,2019-11-22,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-20,2019-11-20,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-11-30,2019-11-30,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-03-03,2020-03-03,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2020-02-08,2020-02-08,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-02,2019-10-02,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-12-02,2019-12-02,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-11,2019-10-11,18,0.0%,,,,,,,,,,,,
eye_kidney_ukb42408,Eye-kidney ukb42408,category_count,Assessment date,53-3.0,53,3,2019-10-20,2019-10-20,18,0.0%,,,,,,,,,,,,
