source_id,group_id,instance,participant_count,source_participant_count,source_percent
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_left__23115,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_right__23111,all,493058,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_right__23111,0,492337,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_right__23111,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_right__23111,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_percentage_right__23111,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_left__23117,all,493013,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_left__23117,0,492281,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_left__23117,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_left__23117,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_left__23117,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_right__23113,all,493041,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_right__23113,0,492316,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_right__23113,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_right__23113,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_fat_free_mass_right__23113,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_left__23118,all,493007,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_left__23118,0,492275,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_left__23118,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_left__23118,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_left__23118,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_right__23114,all,493040,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_right__23114,0,492315,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_right__23114,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_right__23114,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__leg_predicted_mass_right__23114,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_mass__23128,all,492816,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_mass__23128,0,492047,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_mass__23128,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_mass__23128,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_mass__23128,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_percentage__23127,all,492838,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_percentage__23127,0,492074,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_percentage__23127,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_percentage__23127,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_percentage__23127,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_free_mass__23129,all,492746,502505,98.1%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_free_mass__23129,0,491963,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_free_mass__23129,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_free_mass__23129,2,46385,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_fat_free_mass__23129,3,3123,502505,0.6%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_predicted_mass__23130,all,492705,502505,98.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_predicted_mass__23130,0,491914,502505,97.9%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_predicted_mass__23130,1,20044,502505,4.0%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_predicted_mass__23130,2,46380,502505,9.2%
eye_brain_ukb42577,eye_brain_ukb42577__conventional_risk_factors__bioimpedance_body_composition__body_composition_measurement__trunk_predicted_mass__23130,3,3123,502505,0.6%
